"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"Austria",18.93,6.11,0,0.01,0,
"Belgium",17.72,18.46,0,0.65,0.03,
"Bulgaria",4.6,0.83,0,0.07,,
"Croatia",2.87,1.61,,2.74,,
"Cyprus",4.87,3.05,,,,
"Czech Republic",3.24,2.28,0.01,1.47,0.21,
"Denmark",33.04,8.6,0,,0,
"Estonia",5.84,2.02,0,,0.25,
"Finland",31.68,18.39,0,,0.48,
"France",15.08,7.54,0.01,2.98,0.23,
"Germany",17.36,5.61,0.01,0.45,0.05,
"Greece",4.7,6.05,,1.91,0.7,
"Hungary",5.29,4.26,,0.48,0,
"Iceland",54.26,11.21,0.01,,0.02,
"Ireland",15.73,6.84,0,,0,
"Italy",4.11,3.97,0,8.39,0.13,
"Latvia",8.6,1.82,,1.38,0.19,
"Liechtenstein",17.67,3.84,,,,
"Lithuania",7.05,2.58,,,0,
"Luxembourg",21.46,9.16,0,0.02,,
"Malta",14.37,12.37,,0.04,,
"Netherlands",27.74,10.63,0.01,0.7,0.01,
"Norway",72.12,6.48,0,,0,
"Poland",3.65,2.42,0.02,2.34,0,
"Portugal",16.94,11.56,0,4.95,0.01,
"Romania",9.57,1.81,,10.93,,
"Slovakia",2.86,2.95,0,1.62,0.13,
"Slovenia",7.89,1.91,,0.9,,
"Spain",5.49,5.67,0,2.4,0.01,
"Sweden",35.93,18.35,0,,0.62,
"Switzerland",19.94,8.16,0.01,,0.03,
"Turkey",7.01,0.28,,,,
"United Kingdom",14.92,6.35,0,,,
